Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
12		0.2078		0.2905		0.0000		0.6308		0.00024370
13		0.1955		0.2824		0.0000		0.6694		0.00021919
14		0.1892		0.2919		0.0000		0.6635		0.00019437
15		0.1829		0.2763		0.0000		0.6736		0.00016919
16		0.1787		0.2785		0.0000		0.6871		0.00014359
17		0.1715		0.2818		0.0000		0.6853		0.00011746
18		0.1640		0.2793		0.0000		0.6933		0.00009067
19		0.1584		0.2844		0.0000		0.7002		0.00006295
20		0.1533		0.2884		0.0000		0.6981		0.00003373
